time,hip_angle,knee_angle,ankle_angle,hip_torque,knee_torque,ankle_torque
3.8620,-30.0000,124.1680,-39.6372,1.7453,-12.1151,-0.2863
3.8630,-30.0000,124.1718,-39.6371,1.7453,-12.1151,-0.2863
3.8640,-30.0000,124.1755,-39.6371,1.7453,-12.1151,-0.2863
3.8650,-30.0000,124.1793,-39.6371,1.7453,-12.1151,-0.2863
3.8660,-30.0000,124.1830,-39.6371,1.7453,-12.1151,-0.2864
3.8670,-30.0000,124.1867,-39.6371,1.7453,-12.1152,-0.2864
3.8680,-30.0000,124.1904,-39.6371,1.7453,-12.1152,-0.2864
3.8690,-30.0000,124.1941,-39.6371,1.7453,-12.1152,-0.2864
3.8700,-30.0000,124.1978,-39.6370,1.7453,-12.1152,-0.2864
3.8710,-30.0000,124.2015,-39.6370,1.7453,-12.1152,-0.2864
3.8720,-30.0000,124.2051,-39.6370,1.7453,-12.1152,-0.2864
3.8730,-30.0000,124.2088,-39.6370,1.7453,-12.1152,-0.2864
3.8740,-30.0000,124.2124,-39.6370,1.7453,-12.1152,-0.2864
3.8750,-30.0000,124.2160,-39.6370,1.7453,-12.1152,-0.2865
3.8760,-30.0000,124.2197,-39.6369,1.7453,-12.1152,-0.2865
3.8770,-30.0000,124.2233,-39.6369,1.7453,-12.1153,-0.2865
3.8780,-30.0000,124.2269,-39.6369,1.7453,-12.1153,-0.2865
3.8790,-30.0000,124.2305,-39.6369,1.7453,-12.1153,-0.2865
3.8800,-30.0000,124.2340,-39.6369,1.7453,-12.1153,-0.2865
3.8810,-30.0000,124.2376,-39.6369,1.7453,-12.1153,-0.2865
3.8820,-30.0000,124.2412,-39.6368,1.7453,-12.1153,-0.2865
3.8830,-30.0000,124.2447,-39.6368,1.7453,-12.1153,-0.2866
3.8840,-30.0000,124.2482,-39.6368,1.7453,-12.1153,-0.2866
3.8850,-30.0000,124.2517,-39.6368,1.7453,-12.1153,-0.2866
3.8860,-30.0000,124.2553,-39.6368,1.7453,-12.1153,-0.2866
3.8870,-30.0000,124.2588,-39.6368,1.7453,-12.1153,-0.2866
3.8880,-30.0000,124.2623,-39.6367,1.7453,-12.1154,-0.2866
3.8890,-30.0000,124.2657,-39.6367,1.7453,-12.1154,-0.2866
3.8900,-30.0000,124.2692,-39.6367,1.7453,-12.1154,-0.2866
3.8910,-30.0000,124.2727,-39.6367,1.7453,-12.1154,-0.2867
3.8920,-30.0000,124.2761,-39.6367,1.7453,-12.1154,-0.2867
3.8930,-30.0000,124.2795,-39.6367,1.7453,-12.1154,-0.2867
3.8940,-30.0000,124.2830,-39.6367,1.7453,-12.1154,-0.2867
3.8950,-30.0000,124.2864,-39.6366,1.7453,-12.1154,-0.2867
3.8960,-30.0000,124.2898,-39.6366,1.7453,-12.1154,-0.2867
3.8970,-30.0000,124.2932,-39.6366,1.7453,-12.1154,-0.2867
3.8980,-30.0000,124.2966,-39.6366,1.7453,-12.1154,-0.2867
3.8990,-30.0000,124.3000,-39.6366,1.7453,-12.1154,-0.2867
3.9000,-30.0000,124.3033,-39.6366,1.7453,-12.1154,-0.2868
3.9010,-30.0000,124.3067,-39.6365,1.7453,-12.1155,-0.2868
3.9020,-30.0000,124.3100,-39.6365,1.7453,-12.1155,-0.2868
3.9030,-30.0000,124.3134,-39.6365,1.7453,-12.1155,-0.2868
3.9040,-30.0000,124.3167,-39.6365,1.7453,-12.1155,-0.2868
3.9050,-30.0000,124.3200,-39.6365,1.7453,-12.1155,-0.2868
3.9060,-30.0000,124.3233,-39.6365,1.7453,-12.1155,-0.2868
3.9070,-30.0000,124.3266,-39.6364,1.7453,-12.1155,-0.2868
3.9080,-30.0000,124.3299,-39.6364,1.7453,-12.1155,-0.2868
3.9090,-30.0000,124.3332,-39.6364,1.7453,-12.1155,-0.2869
3.9100,-30.0000,124.3365,-39.6364,1.7453,-12.1155,-0.2869
3.9110,-30.0000,124.3397,-39.6364,1.7453,-12.1155,-0.2869
3.9120,-30.0000,124.3430,-39.6364,1.7453,-12.1155,-0.2869
3.9130,-30.0000,124.3462,-39.6364,1.7453,-12.1155,-0.2869
3.9140,-30.0000,124.3494,-39.6363,1.7453,-12.1155,-0.2869
3.9150,-30.0000,124.3527,-39.6363,1.7453,-12.1156,-0.2869
3.9160,-30.0000,124.3559,-39.6363,1.7453,-12.1156,-0.2869
3.9170,-30.0000,124.3591,-39.6363,1.7453,-12.1156,-0.2869
3.9180,-30.0000,124.3623,-39.6363,1.7453,-12.1156,-0.2870
3.9190,-30.0000,124.3654,-39.6363,1.7453,-12.1156,-0.2870
3.9200,-30.0000,124.3686,-39.6362,1.7453,-12.1156,-0.2870
3.9210,-30.0000,124.3718,-39.6362,1.7453,-12.1156,-0.2870
3.9220,-30.0000,124.3749,-39.6362,1.7453,-12.1156,-0.2870
3.9230,-30.0000,124.3781,-39.6362,1.7453,-12.1156,-0.2870
3.9240,-30.0000,124.3812,-39.6362,1.7453,-12.1156,-0.2870
3.9250,-30.0000,124.3843,-39.6362,1.7453,-12.1156,-0.2870
3.9260,-30.0000,124.3875,-39.6361,1.7453,-12.1156,-0.2870
3.9270,-30.0000,124.3906,-39.6361,1.7453,-12.1156,-0.2871
3.9280,-30.0000,124.3937,-39.6361,1.7453,-12.1156,-0.2871
3.9290,-30.0000,124.3968,-39.6361,1.7453,-12.1156,-0.2871
3.9300,-30.0000,124.3998,-39.6361,1.7453,-12.1156,-0.2871
3.9310,-30.0000,124.4029,-39.6361,1.7453,-12.1157,-0.2871
3.9320,-30.0000,124.4060,-39.6361,1.7453,-12.1157,-0.2871
3.9330,-30.0000,124.4090,-39.6360,1.7453,-12.1157,-0.2871
3.9340,-30.0000,124.4121,-39.6360,1.7453,-12.1157,-0.2871
3.9350,-30.0000,124.4151,-39.6360,1.7453,-12.1157,-0.2871
3.9360,-30.0000,124.4181,-39.6360,1.7453,-12.1157,-0.2871
3.9370,-30.0000,124.4211,-39.6360,1.7453,-12.1157,-0.2872
3.9380,-30.0000,124.4241,-39.6360,1.7453,-12.1157,-0.2872
